 set Ebeam beam_P Target_P x y z pT2 phih phis k0 born            amm                    nrad_ir                rad_f                   rad_f_err              nrad                   nrad_err               rad                    rad_err                nrad_rad               nrad_rad_err
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 2.356194 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0824065918384730e-05 1.5587770243547069e-08 3.6588395850508357e-12 6.0839653688628277e-05 3.6588395850508357e-12 2.4414956304954713e-05 1.8624272104742204e-08 8.5254609993582983e-05 1.8627930944327255e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 2.670354 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.1010894617700219e-05 2.6269966847033843e-08 3.6479222462634218e-12 6.1037164584547249e-05 3.6479222462634218e-12 2.4887600342209360e-05 1.4779285391489649e-08 8.5924764926756606e-05 1.4782933313735912e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 2.984513 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.1111434295548720e-05 3.2156995052375498e-08 4.8794757834195416e-12 6.1143591290601098e-05 4.8794757834195416e-12 2.5153934167072369e-05 1.7206884185094559e-08 8.6297525457673470e-05 1.7211763660877978e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -2.984513 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.6128764448897373e-05 3.9181558586221985e-08 7.4654096346671742e-12 2.6167946007483597e-05 7.4654096346671742e-12 1.1416866951346553e-05 1.0843193978335268e-08 3.7584812958830149e-05 1.0850659387969935e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -2.670354 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.6032363105154730e-05 3.3506939493605916e-08 6.2818437563471559e-12 2.6065870044648335e-05 6.2818437563471559e-12 1.1143573597521700e-05 8.6812079673344013e-09 3.7209443642170034e-05 8.6874898110907492e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -2.356194 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5858336604862146e-05 2.3794230068193377e-08 4.4648366114739243e-12 2.5882130834930340e-05 4.4648366114739243e-12 1.0693202243073365e-05 8.5962101214663085e-09 3.6575333078003703e-05 8.6006749580777828e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -2.042035 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5636429804870127e-05 1.2336390747172286e-08 2.0149894542052321e-12 2.5648766195617300e-05 2.0149894542052321e-12 1.0190028619680277e-05 6.8587739310078722e-09 3.5838794815297581e-05 6.8607889204620776e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -1.727876 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5397709223250038e-05 1.0752132684622718e-09 2.0163860859135631e-12 2.5398784436518502e-05 2.0163860859135631e-12 9.7332171273266771e-06 4.0750307460906245e-09 3.5132001563845179e-05 4.0770471321765384e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -1.413717 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5168309589592186e-05 -8.7989543073855204e-09 1.8342133173961838e-12 2.5159510635284800e-05 1.8342133173961838e-12 9.3610852656429186e-06 3.4114207481606233e-09 3.4520595900927718e-05 3.4132549614780193e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -1.099557 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4967439412084128e-05 -1.6748010680660472e-08 2.4373468497230033e-12 2.4950691401403469e-05 2.4373468497230033e-12 9.0796528483664236e-06 2.5406916301734514e-09 3.4030344249769896e-05 2.5431289770231744e-09
