 set Ebeam beam_P Target_P x y z pT2 phih phis k0 born            amm                    nrad_ir                rad_f                   rad_f_err              nrad                   nrad_err               rad                    rad_err                nrad_rad               nrad_rad_err
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 0.157080 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.2914387702143812e-05 -4.3940267851965535e-08 3.1504480026178055e-12 9.2870447434291844e-05 3.1504480026178055e-12 3.5329877259980005e-05 3.7115497267848495e-08 1.2820032469427185e-04 3.7118647715851115e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 0.471239 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.2974827521861983e-05 -3.9711557308586589e-08 2.7747112869004931e-12 9.2935115964553393e-05 2.7747112869004931e-12 3.5548423115183548e-05 3.7597661430454234e-08 1.2848353907973694e-04 3.7600436141741136e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 0.785398 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3090979711667226e-05 -3.1498468146862720e-08 2.5815232031364737e-12 9.3059481243520367e-05 2.5815232031364737e-12 3.6048040556168725e-05 4.0020217229125929e-08 1.2910752179968909e-04 4.0022798752329068e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 1.099557 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3253469412067562e-05 -1.9816556153438948e-08 3.2558814058599301e-12 9.3233652855914125e-05 3.2558814058599301e-12 3.6801768079898974e-05 3.4799156059564154e-08 1.3003542093581309e-04 3.4802411940970011e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 1.413717 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3448521881515356e-05 -5.4902478308738996e-09 3.1752142938911001e-12 9.3443031633684489e-05 3.1752142938911001e-12 3.7752941601102170e-05 3.9814863003135831e-08 1.3119597323478667e-04 3.9818038217429723e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 1.727876 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3658536485517825e-05 1.0315046446752589e-08 2.9315931182584976e-12 9.3668851531964582e-05 2.9315931182584976e-12 3.8873560822613472e-05 4.5096964749391064e-08 1.3254241235457806e-04 4.5099896342509320e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 2.042035 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3863196749056560e-05 2.6108566236123119e-08 3.6045140152163140e-12 9.3889305315292683e-05 3.6045140152163140e-12 4.0077235269651637e-05 5.3403793589087641e-08 1.3396654058494433e-04 5.3407398103102860e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 2.356194 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.4041259653371520e-05 4.0172707524805872e-08 5.6190351654067303e-12 9.4081432360896322e-05 5.6190351654067303e-12 4.1220803735669648e-05 5.8591659831388156e-08 1.3530223609656598e-04 5.8597278866553564e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 2.670354 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.4173018182715161e-05 5.0778525957351351e-08 6.4325169603724551e-12 9.4223796708672514e-05 6.4325169603724551e-12 4.2132317712615767e-05 6.4871595447003056e-08 1.3635611442128827e-04 6.4878027963963423e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 2.984513 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.4243119364732547e-05 5.6491540253969323e-08 7.2353645335224032e-12 9.4299610904986523e-05 7.2353645335224032e-12 4.2646626254223268e-05 6.5501931794966389e-08 1.3694623715920979e-04 6.5509167159499909e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.300000 -2.984513 1.000000 0.010000 5.5927551225146760e-05 -1.0089412630432027e-13 3.9904819190104703e-05 4.8425426473815661e-08 6.5945940478045100e-12 3.9953244616578521e-05 6.5945940478045100e-12 2.0590027696871727e-05 4.1470976018971619e-08 6.0543272313450251e-05 4.1477570613019421e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.300000 -2.670354 1.000000 0.010000 5.5927551225146760e-05 -1.0089412630432027e-13 3.9846587306694059e-05 4.3621413848567956e-08 5.8623267180513705e-12 3.9890208720542625e-05 5.8623267180513705e-12 2.0027330883564248e-05 3.8403399484695375e-08 5.9917539604106870e-05 3.8409261811413429e-08
